recordedAt,receivedAt,tukTukRegistrationNumber,plateNumber,deviceSerialNumber,provinceCode,districtCode,stationCode,latitude,longitude,speedKmh,heading,accuracyM,ignitionOn
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000020,NCP-CAB-5020,SIM-TD-020,NCP,POL,POLP,7.9405083,81.0185701,0,,5.89,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:27.000Z,REG-2026-000019,NCP-CAB-5019,SIM-TD-019,NCP,ANU,ANUP,8.3114931,80.4037092,0,,3.56,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:13.000Z,REG-2026-000026,WP-CAB-5026,SIM-TD-026,WP,COL,PET,6.9390967,79.8505387,0,,6.02,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:33.000Z,REG-2026-000006,WP-CAB-5006,SIM-TD-006,WP,KAL,PAN,6.7130654,79.906556,0,,6.3,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:38.000Z,REG-2026-000021,UVA-CAB-5021,SIM-TD-021,UVA,BAD,BADP,6.9931664,81.0550169,0,,3.68,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:22.000Z,REG-2026-000018,NWP-CAB-5018,SIM-TD-018,NWP,PUT,PUTP,8.0361392,79.8283331,0,,4.2,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:19.000Z,REG-2026-000041,NWP-CAB-5041,SIM-TD-041,NWP,KUR,KURP,7.48616,80.3647583,0,,4.27,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:24.000Z,REG-2026-000032,CP-CAB-5032,SIM-TD-032,CP,KAN,PER,7.2662778,80.5940666,0,,3.87,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000003,WP-CAB-5003,SIM-TD-003,WP,COL,MNTL,6.8386932,79.8630506,0,,5.24,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:39.000Z,REG-2026-000037,NP-CAB-5037,SIM-TD-037,NP,JAF,JAFP,9.6614378,80.0252603,0,,8.07,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:36.000Z,REG-2026-000038,EP-CAB-5038,SIM-TD-038,EP,TRI,TRIP,8.5875976,81.2153561,0,,6.47,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:37.000Z,REG-2026-000031,CP-CAB-5031,SIM-TD-031,CP,KAN,KDY,7.2904683,80.6337155,0,,6.3,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:28.000Z,REG-2026-000036,SP-CAB-5036,SIM-TD-036,SP,HAM,HAMB,6.124096,81.1185802,0,,3.94,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000008,CP-CAB-5008,SIM-TD-008,CP,KAN,PER,7.2666366,80.594242,0,,6.09,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:30.000Z,REG-2026-000009,CP-CAB-5009,SIM-TD-009,CP,NUW,NUWPS,6.9495581,80.7889995,0,,5.56,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:20.000Z,REG-2026-000023,SAB-CAB-5023,SIM-TD-023,SAB,RAT,RATP,6.6826271,80.3994367,0,,4.67,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:32.000Z,REG-2026-000024,SAB-CAB-5024,SIM-TD-024,SAB,KEG,KEGP,7.2510951,80.3464929,0,,5.12,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:27.000Z,REG-2026-000017,NWP-CAB-5017,SIM-TD-017,NWP,KUR,KURP,7.486063,80.364875,0,,5.69,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:25.000Z,REG-2026-000034,SP-CAB-5034,SIM-TD-034,SP,GAL,GALP,6.0326845,80.216827,0,,3.56,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:15.000Z,REG-2026-000010,SP-CAB-5010,SIM-TD-010,SP,GAL,GALP,6.0330278,80.2170325,0,,4.92,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:29.000Z,REG-2026-000015,EP-CAB-5015,SIM-TD-015,EP,BAT,BATP,7.7101429,81.6924898,0,,7.49,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:39.000Z,REG-2026-000005,WP-CAB-5005,SIM-TD-005,WP,GAM,KEL,6.9550936,79.9219857,0,,7.8,false
